title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998-11-23,99.0,9.1,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
Metroid Prime,GameCube,2002-11-17,97.0,9.2,T,['Retro Studios'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Perfect Dark,Nintendo 64,2000-05-22,97.0,8.9,M,['Rare Ltd.'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Super Mario Galaxy,Wii,2007-11-12,97.0,9.0,E,['Nintendo'],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Super Mario Galaxy 2,Wii,2010-05-23,97.0,9.1,E,['Nintendo EAD Tokyo '],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Super Mario Odyssey,Nintendo Switch,2017-10-27,97.0,8.9,E10+,['Nintendo'],"['Action', 'Platformer', '3D']"
The Legend of Zelda: Breath of the Wild,Nintendo Switch,2017-03-03,97.0,8.7,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
GoldenEye 007,Nintendo 64,1997-08-25,96.0,9.0,T,['Rare Ltd.'],"['Action', 'Shooter', 'First-Person', 'Modern']"
The Legend of Zelda: Breath of the Wild,Wii U,2017-03-03,96.0,8.2,E10+,['Nintendo'],"['Fantasy', 'Fantasy', 'Action Adventure', 'Open-World']"
The Legend of Zelda: The Wind Waker,GameCube,2003-03-24,96.0,9.0,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Twilight Princess,GameCube,2006-12-11,96.0,8.9,T,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda Collector's Edition,GameCube,2003-11-17,95.0,9.0,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: A Link to the Past,Game Boy Advance,2002-12-03,95.0,9.0,E,['Capcom'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Majora's Mask,Nintendo 64,2000-10-25,95.0,9.2,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Twilight Princess,Wii,2006-11-19,95.0,8.9,T,['Nintendo'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
Super Mario 64,Nintendo 64,1996-09-26,94.0,9.2,E,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,2003-10-21,94.0,8.9,E,['Nintendo'],"['Action', 'Platformer', '2D']"
The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,2011-06-19,94.0,9.0,E10+,['GREZZO'],"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Fantasy', 'Compilation', 'Open-World']"
Flipnote Studio,Nintendo DS,2009-08-12,93.0,7.5,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Mario Kart Super Circuit,Game Boy Advance,2001-08-26,93.0,7.9,E,['Intelligent Systems'],"['Driving', 'Racing', 'Kart']"
Paper Mario,Nintendo 64,2001-02-05,93.0,9.0,E,['Intelligent Systems'],"['Role-Playing', 'Console-style RPG']"
Super Mario 3D World,Wii U,2013-11-22,93.0,8.9,E,['Nintendo'],"['Platformer', '3D', 'Action', 'Platformer', '3D']"
Super Smash Bros. Brawl,Wii,2008-03-09,93.0,8.8,T,['Game Arts'],"['Action', 'Fighting', 'Fighting', '3D', '2D', '3D']"
Super Smash Bros. Ultimate,Nintendo Switch,2018-12-07,93.0,8.6,E10+,"['Nintendo', ' HAL Labs', ' Bandai Namco Games', ' Sora Ltd.']","['Action', 'Fighting', '2D']"
The Legend of Zelda: Skyward Sword,Wii,2011-11-20,93.0,8.1,E10+,['Nintendo'],"['Action Adventure', 'Fantasy', 'General', 'Fantasy', 'Open-World']"
Advance Wars,Game Boy Advance,2001-09-09,92.0,8.9,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Modern']"
Banjo-Kazooie,Nintendo 64,1998-05-31,92.0,9.1,E,['Rare Ltd.'],"['Action', 'Platformer', '3D']"
Bayonetta 2,Nintendo Switch,2018-02-16,92.0,8.5,M,"['Nintendo', ' PlatinumGames']","['Action Adventure', 'Linear']"
Eternal Darkness: Sanity's Requiem,GameCube,2002-06-23,92.0,8.7,M,['Silicon Knights'],"['Action Adventure', 'Horror']"
Final Fantasy VI Advance,Game Boy Advance,2007-02-05,92.0,8.7,E10+,['TOSE'],"['Role-Playing', 'Console-style RPG']"
Fire Emblem: Awakening,Nintendo 3DS,2013-02-04,92.0,9.1,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Fantasy', 'Fantasy', 'Tactics']"
Mario Kart 8 Deluxe,Nintendo Switch,2017-04-28,92.0,8.6,E,['Nintendo'],"['Other', 'Racing', 'Arcade', 'Automobile']"
Metroid Fusion,Game Boy Advance,2002-11-17,92.0,9.0,E,['Nintendo'],"['Action Adventure', 'Sci-Fi']"
Metroid Prime 2: Echoes,GameCube,2004-11-15,92.0,8.8,T,['Retro Studios'],"['Action', 'Shooter', 'First-Person', 'Sci-Fi']"
Super Mario Sunshine,GameCube,2002-08-25,92.0,8.5,E,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario World: Super Mario Advance 2,Game Boy Advance,2002-02-09,92.0,9.0,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Smash Bros. Melee,GameCube,2001-12-02,92.0,9.1,T,['HAL Labs'],"['Action', 'Fighting', '3D']"
Super Smash Bros. for Wii U,Wii U,2014-11-21,92.0,8.9,E10+,['Bandai Namco Games'],"['Action', 'Fighting', 'Fighting', '3D', '2D', '2D', '3D']"
Wave Race 64,Nintendo 64,1996-11-01,92.0,8.3,E,['Nintendo'],"['Driving', 'Racing', 'Snow / Water']"
Xenoblade Chronicles,Wii,2012-04-06,92.0,9.2,T,['Monolith Soft'],"['Role-Playing', 'Action RPG', 'Console-style RPG', 'Action RPG']"
Bayonetta 2,Wii U,2014-09-20,91.0,8.9,M,['PlatinumGames'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Linear']"
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Nintendo Switch,2019-09-27,91.0,8.6,T,['Square Enix'],"['Role-Playing', 'Japanese-Style']"
Golden Sun,Game Boy Advance,2001-11-11,91.0,9.0,E,['Camelot Software Planning'],"['Role-Playing', 'Console-style RPG']"
Mario Golf,Nintendo 64,1999-06-30,91.0,8.0,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Golf', 'Arcade']"
Mario Kart DS,Nintendo DS,2005-11-14,91.0,8.7,E,['Nintendo'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Kart', 'Automobile']"
Mario Tennis,Nintendo 64,2000-08-28,91.0,8.8,E,['Camelot Software Planning'],"['Sports', 'Traditional', 'Tennis']"
